row_id,type,ticket_id,title,body,industry,product_or_service,issue_category,channel,priority,status,timestamp,customer_id,region,emotional_tone,sentiment,assigned_team,resolver
e107ed8356bf,support_ticket,TCKT-1000,HOTTAP Nomad - Damaged Item,"The HOTTAP Nomad arrived dented/scratched, really disappointed.",Outdoor Gear,HOTTAP Nomad,damaged_item,email,urgent,open,2025-08-20T06:23:09,CUST-63377,NZ,frustrated,neutral,Support L1,
2b358b640981,agent_response,TCKT-1000,Agent response,Apologies for the damage! A replacement is being sent right away under warranty.,Outdoor Gear,HOTTAP Nomad,damaged_item,email,urgent,resolved,2025-08-22T02:23:09,CUST-63377,NZ,neutral,neutral,Support QA,Agent-153
7c60776d5d2d,customer_feedback,TCKT-1000,Support feedback,Took too long but got resolved.,Outdoor Gear,HOTTAP Nomad,support_quality,email,low,closed,2025-08-24T05:23:09,CUST-63377,NZ,worried,positive,Support QA,
b701caa2a304,support_ticket,TCKT-1001,Ensuite Double - Delivery Delay,My Ensuite Double hasn't arrived yet and tracking hasn't updated.,Outdoor Gear,Ensuite Double,delivery_delay,email,low,open,2024-12-04T20:46:12,CUST-21483,US,appreciative,positive,Support L1,
23242bf7a75e,agent_response,TCKT-1001,Agent response,We're sorry for the delay. Carrier has been contacted and we'll expedite replacement if needed.,Outdoor Gear,Ensuite Double,delivery_delay,email,low,resolved,2024-12-05T10:46:12,CUST-21483,US,neutral,neutral,Support L1,Agent-194
bb3d94df6957,support_ticket,TCKT-1002,Awning Kit - Delivery Delay,My Awning Kit hasn't arrived yet and tracking hasn't updated.,Outdoor Gear,Awning Kit,delivery_delay,live_chat,urgent,open,2024-08-14T15:34:28,CUST-66444,UK,delighted,positive,Support L1,
d271fe64655d,agent_response,TCKT-1002,Agent response,We're sorry for the delay. Carrier has been contacted and we'll expedite replacement if needed.,Outdoor Gear,Awning Kit,delivery_delay,live_chat,urgent,resolved,2024-08-16T11:34:28,CUST-66444,UK,neutral,neutral,Product,Agent-920
608a72c0ea02,support_ticket,TCKT-1003,GottaGo Toilet (pre-order) - Refund,"I'd like a refund for the GottaGo Toilet (pre-order), it didn't work for my trip.",Outdoor Gear,GottaGo Toilet (pre-order),refund,social_media,urgent,open,2025-08-20T12:24:05,CUST-94692,NZ,appreciative,positive,Support L1,
06006bb5b544,agent_response,TCKT-1003,Agent response,"Refund initiated, expect credit in 5–7 business days.",Outdoor Gear,GottaGo Toilet (pre-order),refund,social_media,urgent,resolved,2025-08-22T12:24:05,CUST-94692,NZ,neutral,neutral,Product,Agent-132
0310d794861d,support_ticket,TCKT-1004,Rainfly - Damaged Item,"The Rainfly arrived dented/scratched, really disappointed.",Outdoor Gear,Rainfly,damaged_item,live_chat,high,open,2025-01-13T04:34:11,CUST-96255,NZ,confused,neutral,Support L1,
